# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	15370
#@/user_id	18d226a2-3005-45e4-94cb-81c4e0a458f1
sheng bing 	生病	c=1 d=1 t=12417
sheng chan 	生产	c=1 d=0.379083 t=15370
sheng chan zhe 	生产者	c=4 d=1.95946 t=15370
sheng chan zhe xiao fei zhe 	生产者消费者	c=0 d=0.0390628 t=15370
sheng chan zhe xiao fei zhe mo xing 	生产者消费者模型	c=1 d=0.392586 t=15370
sheng cheng 	生成	c=19 d=1.2841 t=15370
sheng cheng qi 	生成器	c=1 d=1 t=13031
sheng huo 	生活	c=1 d=1 t=13219
sheng ji 	升级	c=5 d=0.61633 t=15370
sheng lve 	省略	c=2 d=0.458406 t=15370
sheng ming 	生命	c=9 d=1.1821 t=15370
sheng qu 	省去	c=1 d=0.000266536 t=15370
sheng ri kuai le 	生日快乐	c=1 d=0.729789 t=15370
sheng xia 	剩下	c=1 d=9.73289e-06 t=15370
sheng xia 	生下	c=1 d=1 t=13685
sheng xiao 	生效	c=1 d=0.26054 t=15370
sheng yin 	声音	c=3 d=0.215456 t=15370
shi 	时	c=1 d=0.244143 t=15370
shi 	是	c=375 d=7.83381 t=15370
shi bai 	失败	c=7 d=0.95292 t=15370
shi bing 	士兵	c=1 d=1.91685e-08 t=15370
shi bu shi 	是不是	c=19 d=1.88734 t=15370
shi chang 	市场	c=4 d=0.661391 t=15370
shi chang 	时长	c=3 d=0.00460782 t=15370
shi chu 	驶出	c=1 d=0.00465413 t=15370
shi fang 	释放	c=7 d=0.730648 t=15370
shi fen 	十分	c=2 d=0.287941 t=15370
shi fou 	是否	c=47 d=2.30235 t=15370
shi hou 	时候	c=77 d=2.79172 t=15370
shi ji 	实际	c=1 d=0.000252273 t=15370
shi ji gong zuo 	实际工作	c=1 d=2.41254e-08 t=15370
shi ji jie guo 	实际结果	c=1 d=0.226502 t=15370
shi ji wan 	十几万	c=1 d=1 t=15143
shi jian 	时间	c=22 d=0.79326 t=15370
shi jian chuo 	时间戳	c=3 d=0.000397884 t=15370
shi jian nei 	时间内	c=1 d=0.0158434 t=15370
shi jian zhou 	时间轴	c=6 d=0.624273 t=15370
shi jue 	视觉	c=2 d=0.65925 t=15370
shi ke yi 	是可以	c=1 d=5.74268e-05 t=15370
shi le 	试了	c=1 d=0.562705 t=15370
shi li 	实例	c=4 d=0.694729 t=15370
shi li dui xiang 	实例对象	c=2 d=0.100199 t=15370
shi li hua 	实例化	c=1 d=0.0889216 t=15370
shi pin 	视频	c=17 d=1.14501 t=15370
shi qing 	事情	c=1 d=0.66365 t=15370
shi shi 	实施	c=1 d=0.254107 t=15370
shi tu mo shi 	视图模式	c=1 d=0.57695 t=15370
shi wu 	事务	c=25 d=10.1261 t=15370
shi wu 	食物	c=3 d=0.0759229 t=15370
shi xian 	实现	c=33 d=1.69641 t=15370
shi xiang 	事项	c=1 d=0.181772 t=15370
shi xiao 	失效	c=7 d=1.35258 t=15370
shi yan 	实验	c=3 d=0.536944 t=15370
shi yan 	试验	c=1 d=5.80138e-07 t=15370
shi yi 	十一	c=1 d=0.774916 t=15370
shi yong 	使用	c=180 d=3.33603 t=15370
shi yong 	适用	c=5 d=1.13696 t=15370
shi yong de 	使用的	c=1 d=1 t=13094
shi yong xing 	实用性	c=1 d=1.70391e-05 t=15370
shi yong yu 	适用于	c=2 d=1 t=15370
shi zhong 	始终	c=1 d=0.511709 t=15370
shou 	手	c=3 d=0.818332 t=15370
shou dong 	手动	c=5 d=0.392841 t=15370
shou fei 	收费	c=1 d=2.26071e-08 t=15370
shou hu 	守护	c=1 d=0.147342 t=15370
shou hu xian cheng 	守护线程	c=1 d=0.151829 t=15370
shou hui lai 	收回来	c=2 d=0.212418 t=15370
shou ji 	手机	c=8 d=0.431061 t=15370
shou ji 	收集	c=1 d=0.606531 t=15370
shou ji ban 	手机版	c=1 d=0.14808 t=15370
shou shang 	手上	c=1 d=1 t=15313
shou xian 	首先	c=2 d=0.458406 t=15370
shu 	书	c=1 d=0.227638 t=15370
shu 	数	c=6 d=1.37541e-05 t=15370
shu 	树	c=5 d=0.593 t=15370
shu biao 	鼠标	c=4 d=0.156212 t=15370
shu chu 	输出	c=6 d=0.516851 t=15370
shu du 	熟读	c=1 d=0.00162053 t=15370
shu ji 	熟记	c=1 d=0.00162866 t=15370
shu ju 	数据	c=52 d=6.47003 t=15370
shu ju bao 	数据包	c=1 d=1 t=13377
shu ju bao 	数据报	c=6 d=3.78568 t=14625
shu ju ku 	数据库	c=4 d=0.926461 t=15370
shu ju lian lu ceng 	数据链路层	c=3 d=1.94059 t=13400
shu ju lian lu ceng bao 	数据链路层包	c=1 d=1 t=13401
shu ju liu liang 	数据流量	c=0 d=0.1 t=13407
shu ju liu liang bao 	数据流量包	c=1 d=1 t=13408
shu liang 	数量	c=2 d=0.402524 t=15370
shu ru 	输入	c=30 d=0.408505 t=15370
shu ru fa 	输入法	c=7 d=1.02114 t=15370
shu ru kuang 	输入框	c=3 d=0.0916297 t=15370
shu ru liu 	输入流	c=1 d=1 t=15344
shu xi 	熟悉	c=1 d=0.00163682 t=15370
shu xing 	属性	c=11 d=0.295818 t=15370
shu yu 	术语	c=1 d=1 t=13296
shu zi 	数字	c=3 d=0.97531 t=15370
shu zu 	数组	c=11 d=1.61172 t=15370
shua 	刷	c=0 d=0.0344728 t=15370
shua bu diao 	刷不掉	c=1 d=0.346456 t=15370
shua xin 	刷新	c=1 d=1 t=14378
shuang 	双	c=2 d=0.792872 t=15370
shuang fang 	双方	c=1 d=1 t=13478
shuang gong 	双工	c=1 d=1 t=14567
shuang ji 	双击	c=2 d=0.275271 t=15370
shuang zhi zhen 	双指针	c=0 d=0.0375311 t=15370
shui 	水	c=1 d=0.302704 t=15370
shui 	谁	c=1 d=0.304221 t=15370
shui bei 	水杯	c=3 d=2.02413 t=15370
shui bu zhao 	睡不着	c=2 d=1 t=15299
shui duo jiu 	睡多久	c=1 d=1 t=15246
shui jiao 	睡觉	c=3 d=1.83946 t=15280
shui jiao qian 	睡觉前	c=1 d=1 t=15289
shui ping 	水平	c=4 d=0.774916 t=15370
shui qian 	睡前	c=1 d=1 t=15301
shun xu 	顺序	c=10 d=1.24109 t=15370
shuo 	说	c=13 d=0.942949 t=15370
shuo de 	说的	c=4 d=3.34127 t=15370
shuo ming 	说明	c=17 d=1.19673 t=15370
shuo wan 	说完	c=1 d=0.00033379 t=15370
si deng 	死等	c=2 d=0.245367 t=15370
si hua 	丝滑	c=1 d=0.0287246 t=15370
si ji ying bei 	死记硬背	c=2 d=0.852144 t=15370
si kao 	思考	c=10 d=1.319 t=15370
si liu ji 	四六级	c=3 d=0.536706 t=15370
si lu 	思路	c=13 d=1.01351 t=15370
si suo 	死锁	c=12 d=2.74642 t=15370
si wei 	思维	c=3 d=1.39885 t=15370
si xun huan 	死循环	c=5 d=2.03764 t=15370
song 	送	c=1 d=1 t=14273
sou suo 	搜索	c=3 d=0.0982735 t=15370
su du 	速度	c=3 d=0.0675687 t=15370
su zhi 	素质	c=1 d=0.293758 t=15370
suan 	算	c=3 d=0.516851 t=15370
suan bu suan 	算不算	c=2 d=0.744532 t=15370
suan chu 	算出	c=1 d=0.109701 t=15370
suan chu lai 	算出来	c=1 d=0.56836 t=15370
suan fa 	算法	c=5 d=0.217625 t=15370
sui 	岁	c=1 d=1 t=15242
sui ji 	随机	c=3 d=0.315298 t=15370
sui ran 	虽然	c=3 d=0.452005 t=15370
sui yi 	随意	c=1 d=7.77187e-06 t=15370
sun shi 	损失	c=1 d=0.299692 t=15370
suo 	锁	c=69 d=0.965605 t=15370
suo ce lve 	锁策略	c=1 d=2.08116e-05 t=15370
suo jing zheng 	锁竞争	c=7 d=0.511709 t=15370
suo ping 	锁屏	c=2 d=0.140345 t=15370
suo qu de 	所取得	c=1 d=0.0409665 t=15370
suo sheng ji 	锁升级	c=1 d=0.000235217 t=15370
suo shu 	所属	c=0 d=0.0313486 t=15370
suo shu lei 	所属类	c=1 d=0.315058 t=15370
suo xie 	缩写	c=1 d=1 t=13169
suo xu 	所需	c=1 d=0.308819 t=15370
suo yi 	所以	c=35 d=2.57676 t=15370
suo yi ta 	所以它	c=1 d=1 t=14105
suo yin 	索引	c=21 d=3.41267 t=15370
suo yin lie 	索引列	c=1 d=0.299692 t=15370
suo you 	所有	c=12 d=0.71177 t=15370
suo you de 	所有的	c=1 d=0.179066 t=15370
ta 	他	c=3 d=0.540641 t=15370
ta 	她	c=4 d=0.194952 t=15370
ta 	它	c=103 d=6.17011 t=15370
ta men 	他们	c=1 d=0.0263839 t=15370
ta men 	它们	c=13 d=0.898034 t=15370
tai 	太	c=1 d=1 t=12031
tai da 	太大	c=3 d=0.75499 t=15370
tai duo 	太多	c=3 d=0.879222 t=15370
tai jiu 	太久	c=1 d=0.690734 t=15370
tai lao 	太老	c=1 d=0.00548905 t=15370
tai xiao 	太小	c=2 d=0.762578 t=15370
tan chu 	弹出	c=2 d=0.474734 t=15370
tan chuang 	弹窗	c=10 d=5.01075 t=14409
tan suo 	探索	c=1 d=0.690734 t=15370
tang 	堂	c=0 d=0.011475 t=15370
tang 	汤	c=1 d=0.704688 t=15370
tang 	躺	c=1 d=1 t=15296
tao can 	套餐	c=1 d=0.128735 t=15370
te dian 	特点	c=1 d=1 t=13450
te xing 	特性	c=2 d=0.32628 t=15370
teng xun 	腾讯	c=2 d=1.11553e-08 t=15370
ti 	题	c=2 d=0.644036 t=15370
ti chu 	提出	c=5 d=1.42949 t=15370
ti dai 	替代	c=2 d=0.0928765 t=15370
ti dai pin 	替代品	c=1 d=0.000934966 t=15370
ti gao 	提高	c=6 d=1.28836 t=15370
ti gong 	提供	c=8 d=1.18484 t=15370
ti jiao 	提交	c=2 d=1.50729 t=15370
ti mu 	题目	c=31 d=1.79348 t=15370
ti qu 	提取	c=1 d=1 t=13804
ti shi 	提示	c=10 d=2.18978 t=15370
ti shi ci 	提示词	c=2 d=1.71177 t=14678
ti shi fu 	提示符	c=1 d=1 t=14620
ti yan 	体验	c=1 d=0.367879 t=15370
tian jia 	添加	c=20 d=1.48525 t=15370
tian qi 	天气	c=1 d=0.0720785 t=15370
tian ran 	天然	c=1 d=0.0125254 t=15370
tian ru 	填入	c=5 d=3.26467e-05 t=15370
tiao 	挑	c=1 d=1 t=15324
tiao 	条	c=3 d=0.943318 t=15370
tiao dao 	跳到	c=5 d=0.421079 t=15370
tiao guo 	跳过	c=5 d=0.441217 t=15370
tiao jian 	条件	c=27 d=2.94523 t=15370
tiao jie 	调节	c=2 d=0.672653 t=15370
tiao li 	条例	c=1 d=0.213312 t=15370
tiao shi 	调试	c=1 d=0.217621 t=15370
tiao xuan 	挑选	c=1 d=0.0257325 t=15370
tiao zheng 	调整	c=1 d=0.215456 t=15370
tiao zhi 	调制	c=1 d=0.216536 t=15370
tiao zhuan 	跳转	c=5 d=2.12859 t=15370
ting che 	停车	c=2 d=0.00863612 t=15370
ting che chang 	停车场	c=2 d=0.00874386 t=15370
ting li 	听力	c=1 d=0.190139 t=15370
ting xia lai 	停下来	c=1 d=0.158817 t=15370
tong 	桶	c=2 d=0.0158966 t=15370
tong bu 	同步	c=10 d=0.744583 t=15370
tong chang 	通常	c=10 d=0.227603 t=15370
tong chou 	统筹	c=1 d=0.0221482 t=15370
tong guo 	通过	c=45 d=2.77109 t=15370
tong ji 	统计	c=5 d=0.305746 t=15370
tong pei fu 	通配符	c=2 d=0.251234 t=15370
tong shi 	同时	c=8 d=0.31679 t=15370
tong xiang 	同向	c=1 d=0.379083 t=15370
tong xiang 	通向	c=0 d=0.0375311 t=15370
tong xiang shuang zhi zhen 	通向双指针	c=1 d=0.377192 t=15370
tong xin 	通信	c=5 d=0.891769 t=15370
tong yang 	同样	c=1 d=4.03772e-08 t=15370
tong yi 	统一	c=1 d=0.0837432 t=15370
tong yi ba 	同一把	c=2 d=7.10776e-05 t=15370
tong yi ge 	同一个	c=9 d=0.621164 t=15370
tong yi shi jian 	同一时间	c=3 d=0.360666 t=15370
tong yi shi ke 	同一时刻	c=2 d=1.09537 t=14571
tong yi tai 	同一台	c=1 d=1 t=12570
tong yong 	通用	c=1 d=1 t=14619
tong zhi 	通知	c=2 d=0.12493 t=15370
tou 	头	c=0 d=0.011475 t=15370
tou fa 	头发	c=1 d=1 t=15322
tu 	图	c=6 d=2.47764e-05 t=15370
tu an 	图案	c=1 d=0.680451 t=15370
tu pian 	图片	c=15 d=1.98508 t=15370
tu ran 	突然	c=1 d=0.0934807 t=15370
tu rang 	土壤	c=1 d=0.00146632 t=15370
tu xiang 	图像	c=2 d=1.00106 t=14683
tu zhong 	图中	c=11 d=1.0557 t=15370
tuan dui 	团队	c=1 d=0.0200405 t=15370
tui chu 	退出	c=1 d=1 t=11929
tui hui 	退回	c=1 d=0.737123 t=15370
tui jian 	推荐	c=12 d=2.16044 t=15370
tuo guan 	托管	c=2 d=1.01062 t=13955
wai bu 	外部	c=1 d=0.110803 t=15370
wai guan 	外观	c=1 d=0.66365 t=15370
wai ji 	外籍	c=1 d=0.109701 t=15370
wai mian 	外面	c=3 d=1.07655 t=14901
wai po 	外婆	c=1 d=1 t=12416
wai wang 	外网	c=1 d=1 t=12175
wan 	万	c=1 d=0.162838 t=15370
wan 	完	c=14 d=1.84193 t=15370
wan bi 	完毕	c=2 d=0.159614 t=15370
wan cheng 	完成	c=3 d=0.677057 t=15370
wan dan 	完蛋	c=1 d=0.1764 t=15370
wan gao feng 	晚高峰	c=1 d=1 t=15209
wan gu 	顽固	c=1 d=0.97531 t=15370
wan hou 	完后	c=1 d=0.496848 t=15370
wan le 	完了	c=1 d=0.180866 t=15370
wan neng 	万能	c=3 d=0.936446 t=15370
wan neng si lu 	万能思路	c=1 d=0.133989 t=15370
wan pang 	完旁	c=1 d=0.600496 t=15370
wan quan 	完全	c=1 d=0.332871 t=15370
wan shang 	晚上	c=2 d=1 t=15288
wan zheng 	完整	c=2 d=0.903887 t=15370
wang 	王	c=1 d=0.373439 t=15370
wang hou 	往后	c=1 d=0.371577 t=15370
wang ji 	忘记	c=1 d=1 t=14795
wang luo 	网络	c=24 d=1.10206 t=15370
wang luo ceng 	网络层	c=2 d=1.65377 t=13376
wang pan 	网盘	c=2 d=1.18045 t=15370
wang wang 	往往	c=1 d=0.755784 t=15370
wang ye 	网页	c=6 d=0.893022 t=15370
wang zhan 	网站	c=5 d=0.0955162 t=15370
wang zhi 	网址	c=10 d=0.462831 t=15370
wei 	为	c=79 d=2.72714 t=15370
wei 	位	c=1 d=0.00269866 t=15370
wei 	未	c=0 d=0.0418952 t=15370
wei bao cun 	未保存	c=2 d=0.662718 t=15370
wei dai ma 	伪代码	c=1 d=0.000518277 t=15370
wei hu 	维护	c=2 d=0.882497 t=15370
wei kong 	为空	c=1 d=3.44013e-06 t=15370
wei le 	为了	c=7 d=0.88271 t=15370
wei li 	为例	c=4 d=0.535578 t=15370
wei ping ding 	未评定	c=1 d=0.421052 t=15370
wei ruan 	微软	c=5 d=1.10029 t=15370
wei shen me 	为什么	c=58 d=1.62438 t=15370
wei ti jiao 	未提交	c=0 d=0.0895834 t=15370
wei tiao 	微调	c=1 d=1 t=13396
wei xin 	微信	c=4 d=1.40539 t=15370
wei xin gong zhong hao 	微信公众号	c=1 d=0.0523397 t=15370
wei zhao dao 	未找到	c=2 d=1.03579 t=15194
wei zhi 	为止	c=1 d=0.0968105 t=15370
wei zhi 	位置	c=8 d=1.81897 t=15370
wei zhi shu 	未知数	c=1 d=9.44524e-06 t=15370
wei zhu 	为主	c=1 d=0.810584 t=15370
wen 	问	c=1 d=0.718924 t=15370
wen ben 	文本	c=5 d=0.0784731 t=15370
wen dang 	文档	c=18 d=2.23121 t=15370
wen ding 	稳定	c=3 d=0.934078 t=15370
wen ding xing 	稳定性	c=1 d=0.0150707 t=15370
wen jian 	文件	c=40 d=2.18185 t=15370
wen jian jia 	文件夹	c=3 d=0.889826 t=15370
wen jian ming 	文件名	c=2 d=1.27253 t=12639
wen jian yi chu 	文件溢出	c=1 d=1 t=14967
wen jian zi yuan 	文件资源	c=2 d=1.96561 t=15047
wen le 	问了	c=1 d=0.847894 t=15370
wen ti 	问题	c=107 d=3.64629 t=15370
wen zhang 	文章	c=2 d=0.257947 t=15370
weng weng 	嗡嗡	c=1 d=0.125556 t=15370
wo 	我	c=122 d=10.3507 t=15370
wo de 	我的	c=2 d=0.425283 t=15370
wo men 	我们	c=1 d=0.847893 t=15370
wu 	五	c=1 d=1 t=13285
wu 	无	c=7 d=4.11051 t=15370
wu ai po jie 	吾爱破解	c=2 d=0.540641 t=15370
wu fa 	无法	c=11 d=0.702618 t=15370
wu ge 	五个	c=1 d=0.0191587 t=15370
wu guang gao 	无广告	c=1 d=0.250324 t=15370
wu hen 	无痕	c=1 d=1 t=12352
wu li ceng 	物理层	c=1 d=1 t=13293
wu lian jie 	无连接	c=3 d=2.66219 t=13509
wu shang da ya 	无伤大雅	c=1 d=0.680451 t=15370
wu suo 	无锁	c=3 d=0.0157644 t=15370
wu xiao 	无效	c=2 d=0.0357931 t=15370
xi 	细	c=1 d=0.000302025 t=15370
xi jie 	细节	c=8 d=0.941415 t=15370
xi sheng 	牺牲	c=3 d=2.52724 t=13571
xi tong 	系统	c=8 d=0.53106 t=15370
xi wang 	希望	c=1 d=0.543351 t=15370
xia 	下	c=32 d=1.5779 t=15370
xia biao 	下标	c=1 d=0.782705 t=15370
xia gao 	瞎搞	c=1 d=0.113042 t=15370
xia hua 	下滑	c=1 d=0.0415857 t=15370
xia lai 	下来	c=1 d=0.163654 t=15370
xia mian 	下面	c=3 d=1.87416 t=15370
xia shu 	下述	c=1 d=0.0303487 t=15370
xia wu 	下午	c=1 d=1 t=15286
xia xian 	下线	c=1 d=1 t=15354
xia yi 	下移	c=1 d=0.313486 t=15370
xia yi bu 	下一步	c=4 d=0.0335842 t=15370
xia yi ci 	下一次	c=1 d=2.35826e-05 t=15370
xia yi ge 	下一个	c=3 d=0.802519 t=15370
xia yi ji 	下一级	c=1 d=1 t=12289
xia zai 	下载	c=12 d=0.181081 t=15370
xian 	先	c=15 d=0.521612 t=15370
xian cheng 	线程	c=154 d=8.27433 t=15370
xian cheng an quan 	线程安全	c=2 d=0.0380213 t=15370
xian cheng chi 	线程池	c=7 d=0.328441 t=15370
xian hou 	先后	c=3 d=0.346456 t=15370
xian lai 	先来	c=1 d=1 t=14311
xian lai hou dao 	先来后到	c=1 d=2.96811e-05 t=15370
xian lu 	线路	c=1 d=1 t=13888
xian ran 	显然	c=4 d=0.853068 t=15370
xian ru 	陷入	c=2 d=1.26409 t=15370
xian shang huan jing 	线上环境	c=1 d=0.524663 t=15370
xian shi 	显示	c=38 d=3.35804 t=15370
xian shi ping 	显示屏	c=1 d=0.499074 t=15370
xian xing 	线性	c=1 d=0.298197 t=15370
xian zai 	现在	c=2 d=0.537944 t=15370
xian zhi 	限制	c=3 d=0.00748391 t=15370
xiang 	像	c=12 d=0.480785 t=15370
xiang 	向	c=3 d=0.0112206 t=15370
xiang 	想	c=5 d=0.937602 t=15370
xiang ba 	想把	c=1 d=1 t=14243
xiang bi 	相比	c=1 d=0.980199 t=15370
xiang dao 	想到	c=6 d=0.909618 t=15370
xiang deng 	相等	c=10 d=0.642877 t=15370
xiang dui 	相对	c=4 d=0.0160829 t=15370
xiang dui lu jing 	相对路径	c=1 d=1 t=14121
xiang gang 	香港	c=9 d=1.98645 t=15221
xiang gao su 	想告诉	c=1 d=1 t=13221
xiang guan 	相关	c=28 d=1.92093 t=15370
xiang hu 	相互	c=2 d=0.869358 t=15370
xiang jiao 	橡胶	c=0 d=0.0292293 t=15370
xiang jiao shou 	橡胶手	c=1 d=0.293758 t=15370
xiang lian 	相连	c=1 d=1 t=13423
xiang mu 	项目	c=20 d=1.22438 t=15370
xiang qing 	详情	c=2 d=0.506617 t=15370
xiang shang 	向上	c=1 d=0.170333 t=15370
xiang si 	相似	c=4 d=1.8883 t=15370
xiang tong 	相同	c=1 d=0.0112769 t=15370
xiang wo 	向我	c=1 d=1 t=13271
xiang xi 	详细	c=12 d=3.5555 t=15370
xiang yao 	想要	c=12 d=2.09093 t=15370
xiang yi xiang 	想一想	c=1 d=0.666977 t=15370
xiang ying 	相应	c=1 d=2.80927e-05 t=15370
xiang you 	向右	c=2 d=0.0593087 t=15370
xiang you ce 	向右侧	c=1 d=0.0104099 t=15370
xiang zhe yang 	像这样	c=1 d=0.197899 t=15370
xiang zhi dao 	想知道	c=1 d=1 t=12421
xiao 	小	c=7 d=0.183253 t=15370
xiao chang 	小厂	c=1 d=0.367879 t=15370
xiao chu 	消除	c=1 d=0.000247277 t=15370
xiao dian 	小点	c=1 d=1 t=15316
xiao fei 	消费	c=1 d=0.380983 t=15370
xiao fei zhe 	消费者	c=3 d=1.52919 t=15370
xiao fu du 	小幅度	c=1 d=0.321422 t=15370
xiao guo 	效果	c=2 d=0.263579 t=15370
xiao hao 	消耗	c=1 d=0.489192 t=15370
xiao huang yun 	小黄云	c=1 d=0.843665 t=15370
xiao hui 	销毁	c=6 d=0.855001 t=15370
xiao lang hao 	小狼毫	c=1 d=1 t=12206
xiao liu liang 	小流量	c=2 d=1.01329 t=15370
xiao lv 	效率	c=8 d=0.984386 t=15370
xiao mai 	小麦	c=1 d=0.133989 t=15370
xiao mi 	小米	c=3 d=0.13466 t=15370
xiao ming 	小明	c=9 d=2.05676 t=15370
xiao mo kuai 	小模块	c=4 d=1.47024 t=15370
xiao qu jian 	小区间	c=1 d=0.384812 t=15370
xiao shi 	小时	c=2 d=1.96079 t=15276
xiao shi 	消失	c=3 d=0.296504 t=15370
xiao wang 	小王	c=9 d=3.54418 t=15370
xiao xi 	消息	c=1 d=0.484325 t=15370
xiao xi dui lie 	消息队列	c=4 d=2.1832 t=15370
xiao xing 	小型	c=1 d=1 t=13973
xiao yu 	小于	c=7 d=0.484978 t=15370
xiao yu deng yu 	小于等于	c=1 d=1 t=11747
xiao yuan 	校园	c=1 d=1 t=14056
xiao zhu shou 	小助手	c=2 d=0.109499 t=15370
xie 	些	c=1 d=0.856415 t=15370
xie 	写	c=10 d=0.865023 t=15370
xie wan 	写完	c=1 d=1 t=11689
xie wei 	写为	c=1 d=1 t=14120
xie yi 	协议	c=7 d=1.42935 t=13445
xie yi ge 	写一个	c=1 d=1 t=14125
xie zai 	卸载	c=4 d=0.13332 t=15370
xie zuo 	写作	c=1 d=0.187308 t=15370
xin 	新	c=5 d=0.115111 t=15370
xin chu xian 	新出现	c=1 d=0.0424257 t=15370
xin hao liang 	信号量	c=3 d=0.0141366 t=15370
xin shou 	新手	c=1 d=0.900325 t=15370
xin xi 	信息	c=17 d=0.612626 t=15370
xin yong hu 	新用户	c=1 d=0.878095 t=15370
xing 	性	c=2 d=0.694197 t=15370
xing bu 	行不	c=1 d=1 t=13142
xing lai 	醒来	c=2 d=1.99501 t=12401
xing neng 	性能	c=4 d=1.19578 t=15370
xing qu 	兴趣	c=2 d=1.34738 t=15370
xing shi 	形式	c=4 d=0.238115 t=15370
xing wei 	行为	c=1 d=1 t=15370
xing zhi 	性质	c=1 d=0.208045 t=15370
xing zhuang 	形状	c=1 d=0.683861 t=15370
xiu fu 	修复	c=3 d=1.48635 t=15370
xiu gai 	修改	c=36 d=3.06895 t=15370
xiu li 	修理	c=1 d=0.562705 t=15370
xiu shi 	修饰	c=1 d=0.108609 t=15370
xiu xi 	休息	c=3 d=0.0150044 t=15370
xiu zheng 	修正	c=1 d=1 t=15202
xu bu xu yao 	需不需要	c=3 d=0.970446 t=15370
xu duo 	许多	c=2 d=1.97531 t=12606
xu hao 	序号	c=1 d=0.0322254 t=15370
xu lie hao 	序列号	c=3 d=0.843665 t=15370
xu lie hua 	序列化	c=2 d=1.99501 t=15351
xu qiu 	需求	c=37 d=7.95179 t=15370
xu yao 	需要	c=108 d=3.19191 t=15370
xuan 	选	c=1 d=5.30296e-09 t=15370
xuan ran 	渲染	c=1 d=0.0284388 t=15370
xuan shen me 	选什么	c=1 d=6.31714e-09 t=15370
xuan xiang 	选项	c=3 d=0.900325 t=15370
xuan ze 	选择	c=10 d=1.79435 t=15370
xuan ze qi 	选择器	c=1 d=1 t=12675
xue 	血	c=1 d=1 t=15332
xue feng tian gu 	削峰填谷	c=1 d=0.506617 t=15370
xue sheng 	学生	c=6 d=0.199888 t=15370
xue xi 	学习	c=6 d=1.13821 t=15370
xun huan 	循环	c=8 d=0.998274 t=15370
xun wen 	询问	c=1 d=0.0593087 t=15370
xun xu 	循序	c=1 d=0.0143357 t=15370
ya chi 	牙齿	c=2 d=0.662718 t=15370
ya feng 	牙缝	c=1 d=0.336216 t=15370
ya li 	压力	c=1 d=0.895834 t=15370
ya shua 	牙刷	c=1 d=0.344728 t=15370
ya suo bao 	压缩包	c=1 d=0.431711 t=15370
yan chi 	延迟	c=6 d=4.34669 t=13895
yan jing 	眼睛	c=3 d=0.0124534 t=15370
yan jiu 	研究	c=1 d=0.0420036 t=15370
yan lun 	言论	c=1 d=1 t=14318
yan qi 	延期	c=1 d=0.479505 t=15370
yan se 	颜色	c=7 d=1.12827 t=15370
yan shi 	演示	c=2 d=0.0681572 t=15370
yan shou 	验收	c=2 d=0.909373 t=15370
yan zheng 	验证	c=14 d=0.189056 t=15370
yan zheng ma 	验证码	c=1 d=1 t=14159
yan zhong 	严重	c=2 d=0.568018 t=15370
yan zhong ji bie 	严重级别	c=1 d=0.282239 t=15370
yang 	养	c=1 d=2.96862e-07 t=15370
yang 	样	c=1 d=1 t=14249
yang shi 	样式	c=14 d=0.959583 t=15370
yao 	要	c=48 d=1.96792 t=15370
yao bu yao 	要不要	c=4 d=1.47439 t=15370
yao ji 	药剂	c=2 d=1.10389e-08 t=15370
yao me 	要么	c=5 d=0.891967 t=15370
yao ni 	要你	c=1 d=1 t=14124
yao qiu 	要求	c=30 d=1.55034 t=15370
yao you 	要有	c=7 d=0.926216 t=15370
yao zuo shen me 	要做什么	c=1 d=0.034562 t=15370
ye 	也	c=23 d=1.08759 t=15370
ye bu 	也不	c=0 d=0.1 t=11783
ye bu fu he 	也不符合	c=1 d=1 t=11784
ye bu yi ding 	也不一定	c=1 d=0.0176857 t=15370
ye hui 	也会	c=1 d=0.429557 t=15370
ye huo qu 	也获取	c=1 d=0.00019549 t=15370
ye jiu 	也就	c=1 d=0.185444 t=15370
ye ke neng 	也可能	c=2 d=0.380983 t=15370
ye ke yi 	也可以	c=4 d=0.04573 t=15370
ye mei you 	也没有	c=6 d=0.541057 t=15370
ye mian 	页面	c=8 d=1.10167 t=15370
ye shi 	也是	c=16 d=0.43958 t=15370
ye wu 	业务	c=33 d=3.45871 t=15370
ye wu chi 	业务池	c=1 d=0.0526021 t=15370
ye xu yao 	也需要	c=1 d=0.551563 t=15370
ye yao 	也要	c=1 d=0.519442 t=15370
ye ying gai 	也应该	c=1 d=1 t=11997
ye yu 	也与	c=1 d=0.261846 t=15370
yi 	一	c=5 d=0.291429 t=15370
yi 	以	c=9 d=0.826145 t=15370
yi ba 	一把	c=6 d=0.120874 t=15370
yi ban 	一半	c=2 d=0.486752 t=15370
yi ban 	一般	c=28 d=1.10454 t=15370
yi bian 	一边	c=1 d=8.29382e-06 t=15370
yi bu 	一步	c=1 d=0.090718 t=15370
yi bu fen 	一部分	c=1 d=0.0916297 t=15370
yi ceng yi ceng 	一层一层	c=1 d=0.191092 t=15370
yi chang 	异常	c=9 d=0.903524 t=15370
yi chu 	溢出	c=3 d=0.147926 t=15370
yi ci 	一次	c=8 d=0.452544 t=15370
yi da pi 	一大批	c=1 d=0.267136 t=15370
yi dao qie 	一刀切	c=1 d=0.585669 t=15370
